council,msoa,cases,incidences,period,msoa.code
Anglesey,Amlwch & Llannerch-y-medd,27,310.9,Rolling 7 days (15 Oct - 21 Oct),W02000001
Anglesey,"Rhos-y-bol, Marian-glas & Moelfre",0-2,<32,Rolling 7 days (15 Oct - 21 Oct),W02000002
Anglesey,Holyhead,3,28.0,Rolling 7 days (15 Oct - 21 Oct),W02000003
Anglesey,Llain-goch & Valley,9,122.9,Rolling 7 days (15 Oct - 21 Oct),W02000004
Anglesey,Beaumaris & Benllech,12,142.0,Rolling 7 days (15 Oct - 21 Oct),W02000005
Anglesey,Llangefni,6,84.8,Rolling 7 days (15 Oct - 21 Oct),W02000006
Anglesey,Bodedern & Rhosneigr,11,152.8,Rolling 7 days (15 Oct - 21 Oct),W02000007
Anglesey,Llanfair Pwllgwyngyll & Menai Bridge,10,160.5,Rolling 7 days (15 Oct - 21 Oct),W02000008
Anglesey,Newborough,4,50.3,Rolling 7 days (15 Oct - 21 Oct),W02000009
Blaenau Gwent,Rassau & Beaufort,13,184.6,Rolling 7 days (15 Oct - 21 Oct),W02000314
Blaenau Gwent,Bryn-mawr,13,234.2,Rolling 7 days (15 Oct - 21 Oct),W02000315
Blaenau Gwent,Sirhowy,30,424.0,Rolling 7 days (15 Oct - 21 Oct),W02000316
Blaenau Gwent,Ebbw Vale North & Glyncoed,15,191.4,Rolling 7 days (15 Oct - 21 Oct),W02000317
Blaenau Gwent,Blaina & Nantyglo,18,189.7,Rolling 7 days (15 Oct - 21 Oct),W02000318
Blaenau Gwent,Tredegar & Georgetown,37,443.0,Rolling 7 days (15 Oct - 21 Oct),W02000319
Blaenau Gwent,Ebbw Vale South & Cwm,18,212.2,Rolling 7 days (15 Oct - 21 Oct),W02000320
Blaenau Gwent,Abertillery North & Cwmtillery,14,155.5,Rolling 7 days (15 Oct - 21 Oct),W02000321
Blaenau Gwent,Abertillery South & Llanhilleth,16,227.7,Rolling 7 days (15 Oct - 21 Oct),W02000322
Bridgend,Caerau,14,197.8,Rolling 7 days (15 Oct - 21 Oct),W02000218
Bridgend,Maesteg East,16,216.3,Rolling 7 days (15 Oct - 21 Oct),W02000219
Bridgend,"Nant-y-moel, Ogmore Vale & Blackmill",25,307.3,Rolling 7 days (15 Oct - 21 Oct),W02000220
Bridgend,"Blaengarw, Pontycymer & Bettws",26,332.4,Rolling 7 days (15 Oct - 21 Oct),W02000221
Bridgend,"Maesteg West, Garth & Llangynwyd",15,243.2,Rolling 7 days (15 Oct - 21 Oct),W02000222
Bridgend,Ynysawdre & Aberkenfig,12,190.4,Rolling 7 days (15 Oct - 21 Oct),W02000223
Bridgend,"Sarn, Bryn-coch & Bryncethin",9,133.9,Rolling 7 days (15 Oct - 21 Oct),W02000224
Bridgend,"Pyle, Kenfig Hill & Cefncribwr",17,183.0,Rolling 7 days (15 Oct - 21 Oct),W02000225
Bridgend,"Pen-prysg, Hendre & Felindre",15,144.9,Rolling 7 days (15 Oct - 21 Oct),W02000226
Bridgend,Cornelly,9,118.5,Rolling 7 days (15 Oct - 21 Oct),W02000227
Bridgend,"Pen-dre, Litchard & Coity",30,287.9,Rolling 7 days (15 Oct - 21 Oct),W02000228
Bridgend,Cefn-glas & Bryntirion,8,127.1,Rolling 7 days (15 Oct - 21 Oct),W02000229
Bridgend,"Pen-y-fai, Laleston & Merthyr Mawr",7,127.2,Rolling 7 days (15 Oct - 21 Oct),W02000230
Bridgend,Central Bridgend,14,164.2,Rolling 7 days (15 Oct - 21 Oct),W02000231
Bridgend,Brackla East & Coychurch Lower,11,187.5,Rolling 7 days (15 Oct - 21 Oct),W02000232
Bridgend,Brackla West,13,203.4,Rolling 7 days (15 Oct - 21 Oct),W02000233
Bridgend,Broadlands,14,126.1,Rolling 7 days (15 Oct - 21 Oct),W02000234
Bridgend,Porthcawl West,20,222.2,Rolling 7 days (15 Oct - 21 Oct),W02000235
Bridgend,Porthcawl East,15,211.6,Rolling 7 days (15 Oct - 21 Oct),W02000236
Caerphilly,"Rhymney, Pontlottyn & Abertysswg",26,292.8,Rolling 7 days (15 Oct - 21 Oct),W02000290
Caerphilly,New Tredegar & Darren Valley,19,259.5,Rolling 7 days (15 Oct - 21 Oct),W02000291
Caerphilly,Aberbargoed & Gilfach,11,181.2,Rolling 7 days (15 Oct - 21 Oct),W02000292
Caerphilly,Bargoed,4,64.8,Rolling 7 days (15 Oct - 21 Oct),W02000293
Caerphilly,"North Blackwood, Argoed & Markham",10,176.3,Rolling 7 days (15 Oct - 21 Oct),W02000294
Caerphilly,Oakdale & Pen-twyn,16,164.9,Rolling 7 days (15 Oct - 21 Oct),W02000295
Caerphilly,Pengam & Cefn Fforest,11,142.0,Rolling 7 days (15 Oct - 21 Oct),W02000296
Caerphilly,St Cattwg,19,249.8,Rolling 7 days (15 Oct - 21 Oct),W02000297
Caerphilly,Blackwood,14,190.5,Rolling 7 days (15 Oct - 21 Oct),W02000298
Caerphilly,Newbridge,5,74.7,Rolling 7 days (15 Oct - 21 Oct),W02000299
Caerphilly,Pontllan-fraith,10,116.3,Rolling 7 days (15 Oct - 21 Oct),W02000300
Caerphilly,Hengoed & Maesycwmer,26,320.9,Rolling 7 days (15 Oct - 21 Oct),W02000301
Caerphilly,Ystrad Mynach & Nelson,34,330.8,Rolling 7 days (15 Oct - 21 Oct),W02000302
Caerphilly,Crosskeys North & Abercarn,12,165.0,Rolling 7 days (15 Oct - 21 Oct),W02000303
Caerphilly,Crosskeys South & Ynysddu,9,154.4,Rolling 7 days (15 Oct - 21 Oct),W02000304
Caerphilly,Risca East,5,79.6,Rolling 7 days (15 Oct - 21 Oct),W02000305
Caerphilly,Risca West,6,115.7,Rolling 7 days (15 Oct - 21 Oct),W02000306
Caerphilly,Aber Valley,7,102.9,Rolling 7 days (15 Oct - 21 Oct),W02000307
Caerphilly,Llanbradach & Penyrheol,18,196.8,Rolling 7 days (15 Oct - 21 Oct),W02000308
Caerphilly,Bedwas & Trethomas,15,219.5,Rolling 7 days (15 Oct - 21 Oct),W02000309
Caerphilly,Machen,20,365.6,Rolling 7 days (15 Oct - 21 Oct),W02000310
Caerphilly,Caerphilly East,24,243.8,Rolling 7 days (15 Oct - 21 Oct),W02000311
Caerphilly,Caerphilly West,12,159.6,Rolling 7 days (15 Oct - 21 Oct),W02000312
Caerphilly,Caerphilly South,11,102.9,Rolling 7 days (15 Oct - 21 Oct),W02000313
Cardiff,Lisvane,5,86.1,Rolling 7 days (15 Oct - 21 Oct),W02000367
Cardiff,Thornhill,7,120.8,Rolling 7 days (15 Oct - 21 Oct),W02000368
Cardiff,Pontprennau,22,251.8,Rolling 7 days (15 Oct - 21 Oct),W02000369
Cardiff,Rhiwbina & Pant-mawr,7,106.3,Rolling 7 days (15 Oct - 21 Oct),W02000370
Cardiff,Llanishen,10,104.0,Rolling 7 days (15 Oct - 21 Oct),W02000371
Cardiff,"Radyr, Morganstown & Gwaelod-y-garth",12,147.5,Rolling 7 days (15 Oct - 21 Oct),W02000372
Cardiff,Llanrumney North,9,130.1,Rolling 7 days (15 Oct - 21 Oct),W02000373
Cardiff,Cyncoed North,0-2,<34,Rolling 7 days (15 Oct - 21 Oct),W02000374
Cardiff,Pentwyn,7,95.4,Rolling 7 days (15 Oct - 21 Oct),W02000375
Cardiff,Tongwynlais & Coryton,6,85.2,Rolling 7 days (15 Oct - 21 Oct),W02000376
Cardiff,Pwll-mawr & St Mellons East,16,215.3,Rolling 7 days (15 Oct - 21 Oct),W02000377
Cardiff,Rhiwbina Village,12,160.9,Rolling 7 days (15 Oct - 21 Oct),W02000378
Cardiff,St Mellons West,4,61.6,Rolling 7 days (15 Oct - 21 Oct),W02000379
Cardiff,"Creigiau, Pentyrch & St Fagans",13,180.2,Rolling 7 days (15 Oct - 21 Oct),W02000380
Cardiff,Llanrumney South,17,258.0,Rolling 7 days (15 Oct - 21 Oct),W02000381
Cardiff,Trowbridge,5,80.5,Rolling 7 days (15 Oct - 21 Oct),W02000382
Cardiff,Llanedeyrn,9,123.9,Rolling 7 days (15 Oct - 21 Oct),W02000383
Cardiff,Heath,8,139.5,Rolling 7 days (15 Oct - 21 Oct),W02000384
Cardiff,Cyncoed South & Roath Park,41,536.2,Rolling 7 days (15 Oct - 21 Oct),W02000385
Cardiff,Whitchurch,9,113.3,Rolling 7 days (15 Oct - 21 Oct),W02000386
Cardiff,Birchgrove,20,325.9,Rolling 7 days (15 Oct - 21 Oct),W02000387
Cardiff,Rumney,11,186.8,Rolling 7 days (15 Oct - 21 Oct),W02000388
Cardiff,Llandaf North,18,207.2,Rolling 7 days (15 Oct - 21 Oct),W02000389
Cardiff,Pen-y-lan North,62,958.3,Rolling 7 days (15 Oct - 21 Oct),W02000390
Cardiff,Gabalfa,95,966.6,Rolling 7 days (15 Oct - 21 Oct),W02000391
Cardiff,Llandaf & Danescourt,34,383.1,Rolling 7 days (15 Oct - 21 Oct),W02000392
Cardiff,Fairwater North,9,135.6,Rolling 7 days (15 Oct - 21 Oct),W02000393
Cardiff,Cathays North,87,922.6,Rolling 7 days (15 Oct - 21 Oct),W02000394
Cardiff,Pen-y-lan South,15,212.4,Rolling 7 days (15 Oct - 21 Oct),W02000395
Cardiff,Roath,38,491.6,Rolling 7 days (15 Oct - 21 Oct),W02000396
Cardiff,Fairwater South,15,233.0,Rolling 7 days (15 Oct - 21 Oct),W02000397
Cardiff,Cathays South & Bute Park,261,"2,060.8",Rolling 7 days (15 Oct - 21 Oct),W02000398
Cardiff,Plasnewydd,41,397.7,Rolling 7 days (15 Oct - 21 Oct),W02000399
Cardiff,Pontcanna,9,135.0,Rolling 7 days (15 Oct - 21 Oct),W02000400
Cardiff,Victoria Park,0-2,<34,Rolling 7 days (15 Oct - 21 Oct),W02000401
Cardiff,Adamsdown,28,231.9,Rolling 7 days (15 Oct - 21 Oct),W02000402
Cardiff,Tremorfa & Pengam,11,146.8,Rolling 7 days (15 Oct - 21 Oct),W02000403
Cardiff,Splott,11,178.4,Rolling 7 days (15 Oct - 21 Oct),W02000404
Cardiff,Ely East,16,205.9,Rolling 7 days (15 Oct - 21 Oct),W02000405
Cardiff,Canton,13,141.2,Rolling 7 days (15 Oct - 21 Oct),W02000406
Cardiff,Caerau East,8,116.3,Rolling 7 days (15 Oct - 21 Oct),W02000407
Cardiff,South Riverside,23,309.5,Rolling 7 days (15 Oct - 21 Oct),W02000408
Cardiff,Ely West,8,130.0,Rolling 7 days (15 Oct - 21 Oct),W02000409
Cardiff,Grangetown North,18,200.8,Rolling 7 days (15 Oct - 21 Oct),W02000410
Cardiff,Caerau West,20,296.3,Rolling 7 days (15 Oct - 21 Oct),W02000411
Cardiff,Grangetown South,8,115.8,Rolling 7 days (15 Oct - 21 Oct),W02000412
Cardiff,Cardiff Bay,18,187.9,Rolling 7 days (15 Oct - 21 Oct),W02000422
Cardiff,Butetown,25,231.3,Rolling 7 days (15 Oct - 21 Oct),W02000423
Carmarthenshire,Llanfihangel-ar-arth & Llanybydder,6,105.6,Rolling 7 days (15 Oct - 21 Oct),W02000142
Carmarthenshire,"Llandovery, Cil-y-cwm & Cynwyl Gaeo",10,180.0,Rolling 7 days (15 Oct - 21 Oct),W02000143
Carmarthenshire,"Tre-lech, Cenarth & Llangeler",3,39.3,Rolling 7 days (15 Oct - 21 Oct),W02000144
Carmarthenshire,"Llandeilo, Llangadog & Maenordeilo",3,41.7,Rolling 7 days (15 Oct - 21 Oct),W02000145
Carmarthenshire,"Abergwili, Llanegwad & Carmel",5,75.1,Rolling 7 days (15 Oct - 21 Oct),W02000146
Carmarthenshire,Carmarthen West & Cynwyl Elfed,4,46.4,Rolling 7 days (15 Oct - 21 Oct),W02000147
Carmarthenshire,Carmarthen North,4,77.7,Rolling 7 days (15 Oct - 21 Oct),W02000148
Carmarthenshire,Carmarthen South & Llangynnwr,0-2,<32,Rolling 7 days (15 Oct - 21 Oct),W02000149
Carmarthenshire,"Brynaman, Y Garnant & Glanaman",7,95.0,Rolling 7 days (15 Oct - 21 Oct),W02000151
Carmarthenshire,Llandybie & Saron,6,70.1,Rolling 7 days (15 Oct - 21 Oct),W02000152
Carmarthenshire,"Llanddarog, Llangyndeyrn & Ferryside",5,60.3,Rolling 7 days (15 Oct - 21 Oct),W02000153
Carmarthenshire,Ammanford & Betws,4,50.5,Rolling 7 days (15 Oct - 21 Oct),W02000154
Carmarthenshire,"Llan-non, Cross Hands & Pen-y-groes",0-2,<24,Rolling 7 days (15 Oct - 21 Oct),W02000156
Carmarthenshire,Glyn & Pontyberem,8,82.6,Rolling 7 days (15 Oct - 21 Oct),W02000157
Carmarthenshire,Yr Hendy & T?-croes,8,132.1,Rolling 7 days (15 Oct - 21 Oct),W02000158
Carmarthenshire,Cydweli & Trimsaran,0-2,<33,Rolling 7 days (15 Oct - 21 Oct),W02000159
Carmarthenshire,Swiss Valley & Llangennech,21,274.4,Rolling 7 days (15 Oct - 21 Oct),W02000160
Carmarthenshire,Dafen & Felin-foel,15,268.4,Rolling 7 days (15 Oct - 21 Oct),W02000161
Carmarthenshire,Pembrey & Burry Port,4,48.1,Rolling 7 days (15 Oct - 21 Oct),W02000162
Carmarthenshire,Llanelli North,6,109.9,Rolling 7 days (15 Oct - 21 Oct),W02000163
Carmarthenshire,Llanelli West,10,135.6,Rolling 7 days (15 Oct - 21 Oct),W02000164
Carmarthenshire,Llanelli Bigyn,6,89.1,Rolling 7 days (15 Oct - 21 Oct),W02000165
Carmarthenshire,Bynea & Llwynhendy,7,77.4,Rolling 7 days (15 Oct - 21 Oct),W02000166
Carmarthenshire,Llanelli South,16,149.4,Rolling 7 days (15 Oct - 21 Oct),W02000167
Carmarthenshire,"Whitland, Laugharne & Llansteffan",6,48.1,Rolling 7 days (15 Oct - 21 Oct),W02000418
Ceredigion,Borth & Bont-goch,4,53.8,Rolling 7 days (15 Oct - 21 Oct),W02000116
Ceredigion,Aberystwyth North,5,56.6,Rolling 7 days (15 Oct - 21 Oct),W02000117
Ceredigion,Aberystwyth South,0-2,<30,Rolling 7 days (15 Oct - 21 Oct),W02000118
Ceredigion,Aberaeron & Llanrhystud,0-2,<29,Rolling 7 days (15 Oct - 21 Oct),W02000120
Ceredigion,New Quay & Penbryn,0-2,<31,Rolling 7 days (15 Oct - 21 Oct),W02000122
Ceredigion,Lampeter & Llanfihangel Ystrad,0-2,<25,Rolling 7 days (15 Oct - 21 Oct),W02000123
Ceredigion,Cardigan & Aber-porth,0-2,<23,Rolling 7 days (15 Oct - 21 Oct),W02000124
Ceredigion,"Beulah, Troed-yr-aur & Llandysul",3,40.6,Rolling 7 days (15 Oct - 21 Oct),W02000125
Ceredigion,"Rheidol, Ystwyth & Caron",5,43.3,Rolling 7 days (15 Oct - 21 Oct),W02000421
Conwy,Llandudno Town & Gogarth,10,112.9,Rolling 7 days (15 Oct - 21 Oct),W02000027
Conwy,Llandudno South,12,171.3,Rolling 7 days (15 Oct - 21 Oct),W02000028
Conwy,Penrhyn Bay,5,80.4,Rolling 7 days (15 Oct - 21 Oct),W02000029
Conwy,Rhos-on-Sea,3,49.9,Rolling 7 days (15 Oct - 21 Oct),W02000030
Conwy,Kinmel Bay & Towyn,12,143.7,Rolling 7 days (15 Oct - 21 Oct),W02000031
Conwy,Llandudno Junction North & Deganwy,8,83.2,Rolling 7 days (15 Oct - 21 Oct),W02000032
Conwy,Colwyn Bay North,6,96.7,Rolling 7 days (15 Oct - 21 Oct),W02000033
Conwy,Upper Colwyn Bay,11,145.0,Rolling 7 days (15 Oct - 21 Oct),W02000034
Conwy,Old Colwyn & Llanddulas,5,57.8,Rolling 7 days (15 Oct - 21 Oct),W02000035
Conwy,Abergele,3,27.6,Rolling 7 days (15 Oct - 21 Oct),W02000036
Conwy,Llandudno Junction South & Llasanffraid Glan Conwy,5,68.1,Rolling 7 days (15 Oct - 21 Oct),W02000037
Conwy,Conwy & Afon Roe,9,126.1,Rolling 7 days (15 Oct - 21 Oct),W02000038
Conwy,Llanfairfechan & Penmaenmawr,5,64.1,Rolling 7 days (15 Oct - 21 Oct),W02000039
Conwy,"Betws-yn-Rhos, Llangernyw & Llansannan",6,86.3,Rolling 7 days (15 Oct - 21 Oct),W02000040
Conwy,Llanrwst & Betws-y-coed,6,69.8,Rolling 7 days (15 Oct - 21 Oct),W02000041
Denbighshire,Prestatyn North,5,86.1,Rolling 7 days (15 Oct - 21 Oct),W02000042
Denbighshire,Prestatyn Central & East,7,133.8,Rolling 7 days (15 Oct - 21 Oct),W02000043
Denbighshire,Prestatyn South,12,230.6,Rolling 7 days (15 Oct - 21 Oct),W02000044
Denbighshire,Rhyl North,16,167.8,Rolling 7 days (15 Oct - 21 Oct),W02000045
Denbighshire,Rhyl South West,4,72.7,Rolling 7 days (15 Oct - 21 Oct),W02000047
Denbighshire,Dyserth & Tremeirchion,7,107.8,Rolling 7 days (15 Oct - 21 Oct),W02000049
Denbighshire,Rhuddlan & Bodelwyddan,11,171.7,Rolling 7 days (15 Oct - 21 Oct),W02000050
Denbighshire,St Asaph & Trefnant,4,74.6,Rolling 7 days (15 Oct - 21 Oct),W02000051
Denbighshire,Denbigh West,0-2,<39,Rolling 7 days (15 Oct - 21 Oct),W02000052
Denbighshire,Denbigh East & Pentre Llanrhaeadr,3,45.5,Rolling 7 days (15 Oct - 21 Oct),W02000053
Denbighshire,Llandyrnog & Llanarmon-yn-Iâl,9,147.1,Rolling 7 days (15 Oct - 21 Oct),W02000054
Denbighshire,Ruthin,6,106.6,Rolling 7 days (15 Oct - 21 Oct),W02000055
Denbighshire,"Corwen, Llanelidan & Efenechdyd",6,113.5,Rolling 7 days (15 Oct - 21 Oct),W02000056
Denbighshire,Llangollen & Llandrillo,7,109.3,Rolling 7 days (15 Oct - 21 Oct),W02000057
Denbighshire,Rhyl East,11,100.9,Rolling 7 days (15 Oct - 21 Oct),W02000419
Flintshire,"Gronant, Ffynnongroyw & Trelawnyd",9,180.4,Rolling 7 days (15 Oct - 21 Oct),W02000058
Flintshire,Mostyn & Holway,9,135.2,Rolling 7 days (15 Oct - 21 Oct),W02000059
Flintshire,Holywell & Bagillt,17,155.6,Rolling 7 days (15 Oct - 21 Oct),W02000060
Flintshire,Flint North East,15,216.0,Rolling 7 days (15 Oct - 21 Oct),W02000061
Flintshire,Flint South West,10,161.0,Rolling 7 days (15 Oct - 21 Oct),W02000062
Flintshire,"Caerwys, Halkyn & Nannerch",5,61.6,Rolling 7 days (15 Oct - 21 Oct),W02000063
Flintshire,Connah's Quay North,7,114.6,Rolling 7 days (15 Oct - 21 Oct),W02000064
Flintshire,Connah's Quay Wepre,7,95.3,Rolling 7 days (15 Oct - 21 Oct),W02000065
Flintshire,Shotton & Garden City,6,59.3,Rolling 7 days (15 Oct - 21 Oct),W02000066
Flintshire,Connah's Quay South & Northop Hall,4,60.2,Rolling 7 days (15 Oct - 21 Oct),W02000067
Flintshire,Queensferry & Sandycroft,9,161.8,Rolling 7 days (15 Oct - 21 Oct),W02000068
Flintshire,"Buckley North, Northop & Sychdyn",7,108.9,Rolling 7 days (15 Oct - 21 Oct),W02000069
Flintshire,Ewloe & Hawarden,21,193.2,Rolling 7 days (15 Oct - 21 Oct),W02000070
Flintshire,New Brighton & Mynyddisa,9,124.9,Rolling 7 days (15 Oct - 21 Oct),W02000071
Flintshire,Broughton & Saltney,8,66.7,Rolling 7 days (15 Oct - 21 Oct),W02000072
Flintshire,Mold,16,158.1,Rolling 7 days (15 Oct - 21 Oct),W02000073
Flintshire,Buckley South,12,118.9,Rolling 7 days (15 Oct - 21 Oct),W02000074
Flintshire,Pen-y-ffordd & Higher Kinnerton,7,114.0,Rolling 7 days (15 Oct - 21 Oct),W02000075
Flintshire,"Leeswood, Treuddyn & Gwernaffield",11,148.0,Rolling 7 days (15 Oct - 21 Oct),W02000076
Flintshire,Hope,14,226.2,Rolling 7 days (15 Oct - 21 Oct),W02000077
Gwynedd,Bangor City,14,145.9,Rolling 7 days (15 Oct - 21 Oct),W02000010
Gwynedd,Bangor South,19,228.1,Rolling 7 days (15 Oct - 21 Oct),W02000011
Gwynedd,Bethesda,10,116.5,Rolling 7 days (15 Oct - 21 Oct),W02000012
Gwynedd,Bethel & Llanrug,4,58.3,Rolling 7 days (15 Oct - 21 Oct),W02000013
Gwynedd,Llanberis & Deiniolen,8,110.2,Rolling 7 days (15 Oct - 21 Oct),W02000014
Gwynedd,Caernarfon East,6,70.3,Rolling 7 days (15 Oct - 21 Oct),W02000015
Gwynedd,Caernarfon West & Waunfawr,0-2,<30,Rolling 7 days (15 Oct - 21 Oct),W02000016
Gwynedd,"Pen-y-groes, Tal-y-sarn & Dyffryn Nantlle",0-2,<26,Rolling 7 days (15 Oct - 21 Oct),W02000017
Gwynedd,Blaenau Ffestiniog & Trawsfynydd,0-2,<31,Rolling 7 days (15 Oct - 21 Oct),W02000018
Gwynedd,Porthmadog,4,57.0,Rolling 7 days (15 Oct - 21 Oct),W02000019
Gwynedd,Cricieth & Llanaelhaearn,4,57.7,Rolling 7 days (15 Oct - 21 Oct),W02000020
Gwynedd,Pwllheli & Morfa Nefyn,7,83.1,Rolling 7 days (15 Oct - 21 Oct),W02000021
Gwynedd,Harlech & Llanbedr,6,100.9,Rolling 7 days (15 Oct - 21 Oct),W02000022
Gwynedd,Abersoch & Aberdaron,8,136.1,Rolling 7 days (15 Oct - 21 Oct),W02000023
Gwynedd,Bala & Mawddwy,0-2,<34,Rolling 7 days (15 Oct - 21 Oct),W02000024
Gwynedd,Barmouth & Dolgellau,0-2,<31,Rolling 7 days (15 Oct - 21 Oct),W02000025
Gwynedd,Tywyn & Llangelynnin,5,67.1,Rolling 7 days (15 Oct - 21 Oct),W02000026
Merthyr Tydfil,Dowlais,37,384.9,Rolling 7 days (15 Oct - 21 Oct),W02000284
Merthyr Tydfil,"Cefncoedycymer, Heolgerrig & Park",28,322.1,Rolling 7 days (15 Oct - 21 Oct),W02000285
Merthyr Tydfil,Gelli-deg & Town,12,170.6,Rolling 7 days (15 Oct - 21 Oct),W02000286
Merthyr Tydfil,Pentre-bach & Mountain Hare,30,354.4,Rolling 7 days (15 Oct - 21 Oct),W02000287
Merthyr Tydfil,"Merthyr Vale, Troed-y-rhiw & Bedlinog",32,396.2,Rolling 7 days (15 Oct - 21 Oct),W02000288
Merthyr Tydfil,Treharris & Trelewis,16,183.2,Rolling 7 days (15 Oct - 21 Oct),W02000289
Merthyr Tydfil,"Gurnos, Trefechan & Pontsticill",33,339.8,Rolling 7 days (15 Oct - 21 Oct),W02000415
Monmouthshire,Abergavenny South & Crucorney,13,155.7,Rolling 7 days (15 Oct - 21 Oct),W02000336
Monmouthshire,Abergavenny North,7,91.3,Rolling 7 days (15 Oct - 21 Oct),W02000337
Monmouthshire,Gilwern & Llanfoist,9,105.1,Rolling 7 days (15 Oct - 21 Oct),W02000338
Monmouthshire,Monmouth & Wyesham,18,159.6,Rolling 7 days (15 Oct - 21 Oct),W02000339
Monmouthshire,Rhaglan & Llantilio Crossenny,7,95.7,Rolling 7 days (15 Oct - 21 Oct),W02000340
Monmouthshire,"Usk, Goytre & Llangybi Fawr",7,81.6,Rolling 7 days (15 Oct - 21 Oct),W02000341
Monmouthshire,Chepstow North & Trellech,12,123.8,Rolling 7 days (15 Oct - 21 Oct),W02000342
Monmouthshire,Chepstow South,6,69.7,Rolling 7 days (15 Oct - 21 Oct),W02000343
Monmouthshire,Caldicot North & Caer-went,3,35.3,Rolling 7 days (15 Oct - 21 Oct),W02000344
Monmouthshire,Caldicot South,3,36.6,Rolling 7 days (15 Oct - 21 Oct),W02000345
Monmouthshire,Magor & Rogiet,6,76.5,Rolling 7 days (15 Oct - 21 Oct),W02000346
Neath Port Talbot,Dulais Valley,12,229.4,Rolling 7 days (15 Oct - 21 Oct),W02000200
Neath Port Talbot,Glynneath,5,95.0,Rolling 7 days (15 Oct - 21 Oct),W02000201
Neath Port Talbot,Pontardawe,15,122.1,Rolling 7 days (15 Oct - 21 Oct),W02000202
Neath Port Talbot,Aberdulais & Resolfen,15,219.4,Rolling 7 days (15 Oct - 21 Oct),W02000203
Neath Port Talbot,Cadoxton & Bryn-coch,21,309.5,Rolling 7 days (15 Oct - 21 Oct),W02000204
Neath Port Talbot,Neath Abbey,23,393.2,Rolling 7 days (15 Oct - 21 Oct),W02000205
Neath Port Talbot,Neath Town,14,205.9,Rolling 7 days (15 Oct - 21 Oct),W02000206
Neath Port Talbot,Cimla,16,313.2,Rolling 7 days (15 Oct - 21 Oct),W02000207
Neath Port Talbot,Skewen & Jersey Marine,82,750.9,Rolling 7 days (15 Oct - 21 Oct),W02000208
Neath Port Talbot,Glyncorrwg & Blaengwynfi,3,58.7,Rolling 7 days (15 Oct - 21 Oct),W02000209
Neath Port Talbot,Neath South,15,227.5,Rolling 7 days (15 Oct - 21 Oct),W02000210
Neath Port Talbot,Briton Ferry,12,150.4,Rolling 7 days (15 Oct - 21 Oct),W02000211
Neath Port Talbot,Cwmafan & Bryn,16,204.0,Rolling 7 days (15 Oct - 21 Oct),W02000212
Neath Port Talbot,Baglan,13,193.3,Rolling 7 days (15 Oct - 21 Oct),W02000213
Neath Port Talbot,Sandfields,25,253.3,Rolling 7 days (15 Oct - 21 Oct),W02000214
Neath Port Talbot,Aberafan,28,286.6,Rolling 7 days (15 Oct - 21 Oct),W02000215
Neath Port Talbot,Port Talbot East,18,249.4,Rolling 7 days (15 Oct - 21 Oct),W02000216
Neath Port Talbot,Port Talbot South & Margam,18,270.0,Rolling 7 days (15 Oct - 21 Oct),W02000217
Neath Port Talbot,Ystalyfera & Gwaun-Cae-Gurwen,6,57.4,Rolling 7 days (15 Oct - 21 Oct),W02000417
Newport,Caerleon,12,154.2,Rolling 7 days (15 Oct - 21 Oct),W02000347
Newport,Malpas,12,153.1,Rolling 7 days (15 Oct - 21 Oct),W02000348
Newport,Bettws,8,99.5,Rolling 7 days (15 Oct - 21 Oct),W02000349
Newport,Langstone & Llan-wern,5,56.5,Rolling 7 days (15 Oct - 21 Oct),W02000350
Newport,Beechwood,5,82.1,Rolling 7 days (15 Oct - 21 Oct),W02000351
Newport,Shaftesbury & Crindai,0-2,<30,Rolling 7 days (15 Oct - 21 Oct),W02000352
Newport,St Julians & Barnardtown,5,70.5,Rolling 7 days (15 Oct - 21 Oct),W02000353
Newport,Lawrence Hill,4,69.0,Rolling 7 days (15 Oct - 21 Oct),W02000354
Newport,Rogerstone,10,108.4,Rolling 7 days (15 Oct - 21 Oct),W02000355
Newport,Ringland,4,74.6,Rolling 7 days (15 Oct - 21 Oct),W02000356
Newport,Maendy,12,150.2,Rolling 7 days (15 Oct - 21 Oct),W02000357
Newport,Ridgeway & Glasllwch,11,173.0,Rolling 7 days (15 Oct - 21 Oct),W02000358
Newport,Victoria & Somerton,17,143.4,Rolling 7 days (15 Oct - 21 Oct),W02000359
Newport,Stow Hill,9,137.2,Rolling 7 days (15 Oct - 21 Oct),W02000360
Newport,Liswerry & Uskmouth,3,25.9,Rolling 7 days (15 Oct - 21 Oct),W02000361
Newport,Pye Corner & Graig,5,79.2,Rolling 7 days (15 Oct - 21 Oct),W02000362
Newport,Gaer,0-2,<35,Rolling 7 days (15 Oct - 21 Oct),W02000363
Newport,Pillgwenlly & Docks,9,101.8,Rolling 7 days (15 Oct - 21 Oct),W02000364
Newport,Duffryn & Maesglas,8,97.7,Rolling 7 days (15 Oct - 21 Oct),W02000365
Newport,Marshfield,11,131.5,Rolling 7 days (15 Oct - 21 Oct),W02000366
Pembrokeshire,Cilgerran & Crymych,0-2,<24,Rolling 7 days (15 Oct - 21 Oct),W02000126
Pembrokeshire,Fishguard,3,30.3,Rolling 7 days (15 Oct - 21 Oct),W02000127
